policy_number,policyholder_name,policyholder_dob,license_number,address,vehicle_make,vehicle_model,vehicle_year,vin,insurance_company,coverage_start,coverage_end,coverage_type,premium_amount,payment_frequency,civil_liability_coverage,dcpd,bodily_injury_compensation,uninsured_motorist_protection,claim_date,claim_type,claim_amount_paid,fault_determination,insurance_adjuster,damage_type,repair_cost,repair_garage
QC-75138535,Tyler Jones,1947-02-16,Q6482652,"585 Joseph Points Suite 061, Brettmouth, NS S9M2M1",BMW,F-150,2024,4359d0da-a6ca-422,Desjardins,2021-03-28,2023-04-28,Collision,1262.52,Quarterly,50000,False,Covered by SAAQ,True,2020-01-04,Vandalism,1729.34,No Claim,Joseph Pearson,Front bumper dent,1439.6,Wilson-Murphy
QC-13019470,Geoffrey Rodgers,1959-06-02,Q9058494,"792 Stephanie Loop, Edwardsland, MB E1G 1T3",Chevrolet,Civic,2022,35840823-0d7c-4cd,Québec Auto Insurance Corp,2022-12-27,2022-12-12,All,1604.62,Monthly,50000,False,Covered by SAAQ,True,2021-03-09,Theft,7599.24,At-Fault,Heidi Costa,Windshield crack,3819.68,Barker-Avila
QC-54190514,Anne Miller,1997-02-03,Q4455205,"7470 Grant Wells, Jamestown, ON C7J7J6",Ford,Malibu,2017,73e6496a-022a-4f3,Intact Insurance,2023-01-08,2020-04-23,All,2046.96,Annually,50000,False,Covered by SAAQ,True,2022-01-26,Vandalism,11872.72,No Claim,Annette Cunningham,Windshield crack,2974.12,Curry-Owens
QC-41749678,Joshua Moreno,1993-04-20,Q1050677,"367 Taylor Mission, Lake Edward, NL J6B5E8",Toyota,Civic,2020,c35dc1fd-49df-466,Desjardins,2021-11-07,2023-01-22,All,2299.35,Quarterly,50000,True,Covered by SAAQ,True,2021-09-28,None,3104.83,Not-At-Fault,Brian Ashley,Front bumper dent,1657.79,"Park, Golden and Miller"
QC-19786431,Curtis Green,1953-03-02,Q9695600,"7122 Morton Stravenue, Jonathanport, AB R6E9K8",Chevrolet,F-150,2021,5097f8fd-533c-453,Desjardins,2021-10-20,2023-04-01,All,770.03,Quarterly,50000,False,Covered by SAAQ,True,2022-09-28,None,14044.68,Not-At-Fault,Karen Ballard,Front bumper dent,1408.24,Sanchez-Haley
QC-83657835,Kurt Lee,1965-05-05,Q1113449,"60138 David Meadows Apt. 227, Butlerburgh, AB P8S 6L5",Toyota,Malibu,2014,25dff487-b531-49e,Desjardins,2020-03-08,2020-09-03,Liability,2371.19,Quarterly,50000,False,Covered by SAAQ,True,2023-04-27,None,6042.8,Not-At-Fault,Gabriel Thomas,None,1251.71,Potter LLC
QC-45519660,Jillian Gentry,1998-05-19,Q9326948,"7241 Smith Rapids, New Leahland, PE P8L 5X3",Honda,Malibu,2007,768c053f-a5c5-455,Intact Insurance,2024-06-27,2024-08-11,Comprehensive,890.86,Monthly,50000,True,Covered by SAAQ,True,2021-07-20,Collision,14014.4,Not-At-Fault,Margaret Williams,Front bumper dent,3761.87,Brooks-Olson
QC-10766697,Hunter Schmidt,1995-12-03,Q4801331,"2132 Christopher Wells, Annburgh, AB E1A6K8",Chevrolet,Camry,2011,8517c987-f8bf-406,Québec Auto Insurance Corp,2023-03-13,2020-06-01,Comprehensive,2338.99,Monthly,50000,False,Covered by SAAQ,True,2024-02-27,Vandalism,10466.66,No Claim,Brian Clark,Windshield crack,3416.11,"Schultz, Morton and Anderson"
QC-26906050,Sarah Williams,1953-07-17,Q8260368,"12214 Justin Harbors Suite 881, East Lawrence, AB R7A5Y6",Ford,Camry,2024,22b93504-78f1-4c8,Québec Auto Insurance Corp,2022-03-02,2020-07-30,Liability,1340.99,Monthly,50000,True,Covered by SAAQ,True,2021-03-03,Vandalism,12104.13,No Claim,Jennifer Martin,Front bumper dent,340.73,Wong and Sons
QC-10767878,Ann Winters,1985-02-17,Q3176893,"44643 Long Estates Suite 096, Jamiemouth, YT V6R4H9",Chevrolet,F-150,2022,fbc84aad-6010-43e,Québec Auto Insurance Corp,2020-04-25,2020-10-27,All,2143.26,Annually,50000,False,Covered by SAAQ,True,2022-06-01,Vandalism,14597.12,Not-At-Fault,Gregory Coleman,Front bumper dent,3183.1,"Barron, Sanchez and Clark"
QC-33413764,Debra Reed,1969-06-29,Q8751013,"54725 Maria Trail, Cherylport, NT R2H6J8",Toyota,Camry,2011,d5efd6e7-5be1-41f,Intact Insurance,2023-01-03,2023-08-11,Liability,1422.26,Monthly,50000,True,Covered by SAAQ,True,2020-02-02,Theft,3702.09,No Claim,Jason Greer,Windshield crack,654.61,"Brown, Daniel and Walter"
QC-67798605,Amy Brown,1950-02-09,Q6093056,"33121 Martin Parkway Suite 208, Bethburgh, AB B2K5E5",Honda,Malibu,2016,b60d1420-22a5-455,Intact Insurance,2024-05-03,2020-07-19,All,1725.9,Monthly,50000,True,Covered by SAAQ,True,2023-09-09,Theft,488.71,No Claim,Douglas Williams,None,3031.91,Li-Pearson
QC-22697208,Colton James,2001-04-30,Q2544281,"3343 Gonzalez Falls, Lake Jessica, PE V2A 8A3",BMW,Camry,2014,99704c5d-8842-447,Québec Auto Insurance Corp,2024-02-04,2022-11-03,Comprehensive,2470.01,Quarterly,50000,True,Covered by SAAQ,True,2021-06-25,None,7449.89,No Claim,Lucas Ortiz,Total loss,4352.04,Reeves Inc
QC-45880891,Ashley Meyer,1948-12-24,Q7194643,"14373 Megan Union Apt. 294, Bradfordbury, NT V6V 1P5",BMW,Civic,2013,90ecec73-f523-4f2,Intact Insurance,2022-08-12,2021-12-14,Liability,1903.23,Monthly,50000,False,Covered by SAAQ,True,2021-08-29,Vandalism,4172.22,No Claim,Edward Bauer,None,4829.55,Perry PLC
QC-26830762,Samuel Johnson,1980-11-01,Q8430784,"06831 Kristen Glens Suite 034, Bradmouth, QC M5N 7T3",Toyota,F-150,2013,71356918-f272-4a1,Desjardins,2022-04-29,2025-02-15,Collision,1202.12,Quarterly,50000,True,Covered by SAAQ,True,2024-05-15,Vandalism,643.55,Not-At-Fault,Thomas Buckley,Front bumper dent,2952.51,Silva-Hughes
QC-17077630,Edward Roberts,2000-08-07,Q3354248,"8659 Braun Turnpike Apt. 511, Craigtown, NS X2V 5J3",BMW,X5,2022,18c4e045-7b2b-458,Québec Auto Insurance Corp,2022-12-09,2024-08-06,Comprehensive,941.08,Annually,50000,True,Covered by SAAQ,True,2020-05-29,None,6123.45,No Claim,Rachel Taylor,Total loss,906.21,"Herrera, Ross and Schneider"
QC-37697415,John Hall,1947-10-05,Q1255329,"4331 Mckay Ridge Suite 329, Kathleenport, PE S7R5E5",Chevrolet,Civic,2023,bdd6d306-592f-461,Intact Insurance,2020-06-10,2021-11-29,All,707.38,Quarterly,50000,False,Covered by SAAQ,True,2024-07-18,Vandalism,12247.13,At-Fault,Daniel Carter Jr.,Windshield crack,3397.41,"Jones, Blanchard and Scott"
QC-70995719,Heidi Sims,2001-04-22,Q8834139,"18655 Skinner Mission Apt. 941, Jonathanmouth, NL S9G 6E5",Toyota,X5,2016,5cb40cfb-cc01-43f,Intact Insurance,2020-02-08,2023-03-01,Comprehensive,1086.36,Quarterly,50000,True,Covered by SAAQ,True,2021-08-06,Theft,6626.03,At-Fault,Erika Parsons,None,3397.57,Hudson Inc
QC-24457303,Patricia Wheeler,1968-09-05,Q6916675,"05855 Mcguire Squares, Staffordfort, NS H4B6E4",Honda,Malibu,2012,01ad9558-5da8-4e3,Québec Auto Insurance Corp,2025-02-05,2020-10-09,Liability,1715.33,Annually,50000,True,Covered by SAAQ,True,2020-03-14,Theft,10914.69,No Claim,Mark Johnson,Front bumper dent,947.28,"Johnson, Johnson and Moore"
QC-25112460,Heidi Ibarra,2000-09-29,Q6997642,"88378 Hunt Groves Apt. 040, Lake Kendra, SK X3R 1B4",BMW,Civic,2012,a81c4b07-43b9-4f7,Desjardins,2021-11-07,2021-05-23,All,750.83,Annually,50000,True,Covered by SAAQ,True,2025-01-28,Vandalism,7715.45,At-Fault,Angela Smith,None,1894.52,"Brown, Wilson and Richardson"
QC-34078866,Donald Wheeler,1981-10-22,Q2046072,"841 Taylor Flat Suite 299, Wangborough, ON A8B1K6",Chevrolet,Camry,2009,9ff07196-8434-44e,Intact Insurance,2022-04-14,2022-09-15,Liability,2199.44,Monthly,50000,False,Covered by SAAQ,True,2020-09-12,Vandalism,13641.91,No Claim,Amanda Cline,None,2121.24,Downs Group
QC-31718766,Amanda Robertson,1991-04-26,Q2846002,"31731 Shane Creek, Bobbyfurt, AB T3C 9N8",Toyota,F-150,2016,65f9662e-57af-441,Québec Auto Insurance Corp,2024-10-22,2024-09-27,Comprehensive,1840.6,Quarterly,50000,False,Covered by SAAQ,True,2021-11-21,Fire,4284.63,Not-At-Fault,Justin King,None,98.06,Robinson Group
QC-57010700,Lisa Brown,1971-01-11,Q6564004,"71759 Hickman Circle, South Bradleyfurt, PE C3V4V9",Chevrolet,F-150,2022,192b2ffd-cb42-4c2,Intact Insurance,2021-07-20,2021-01-10,All,1977.66,Annually,50000,True,Covered by SAAQ,True,2024-09-10,Fire,1866.42,At-Fault,Michelle Anderson,Total loss,2123.63,Hall Group
QC-91920022,Matthew Webster,1996-04-10,Q2211856,"906 Krystal Stream, Brandonchester, QC Y8M5H6",Honda,X5,2012,143b98bd-7631-48e,Québec Auto Insurance Corp,2022-12-22,2024-12-08,All,2360.56,Quarterly,50000,True,Covered by SAAQ,True,2023-08-17,Collision,9006.81,No Claim,Peter Hudson,Total loss,3043.29,Gonzalez Group
QC-74035850,Chase Church,2005-04-08,Q9005902,"833 Williams Green Apt. 851, Shelleyfort, AB L8N3E2",Ford,X5,2010,e3945d97-7abe-42a,Desjardins,2020-01-31,2020-02-15,All,2021.65,Monthly,50000,True,Covered by SAAQ,True,2020-06-26,Theft,12714.86,No Claim,Richard Adams,None,3332.47,"Decker, Stanley and Leblanc"
QC-81737563,Kyle Martinez,1948-04-02,Q9790228,"65711 Rodriguez Lane, Kimberg, YT E7L 2G5",Chevrolet,Civic,2009,7dc80111-d259-4ab,Intact Insurance,2020-07-31,2024-04-04,All,665.23,Quarterly,50000,True,Covered by SAAQ,True,2023-10-28,Vandalism,12709.6,Not-At-Fault,Lisa Vazquez,Windshield crack,3011.97,Williams-Moore
QC-18512500,Christopher Pollard DDS,1947-08-12,Q5002039,"67704 Young Lights Apt. 183, North Don, AB E4P1L7",Chevrolet,Malibu,2012,2e0ead50-5a2c-4ab,Québec Auto Insurance Corp,2022-04-20,2024-07-19,All,1370.13,Monthly,50000,True,Covered by SAAQ,True,2021-05-04,None,861.3,No Claim,Margaret Barnett,Windshield crack,4764.89,Byrd-Matthews
QC-66843308,Lisa Clarke,1982-09-12,Q9158649,"745 Eric Roads, New Matthew, PE A6M 8H1",Ford,X5,2021,c4c3b65a-23f0-4eb,Desjardins,2022-04-11,2021-05-09,All,1287.6,Quarterly,50000,True,Covered by SAAQ,True,2021-01-04,Fire,7423.5,At-Fault,Timothy Roy,Total loss,1516.19,Murphy Ltd
QC-47487092,Justin Brown,1972-09-10,Q3054363,"485 Andrea Rapids Suite 093, West Rodney, NS V8N7V7",Toyota,Civic,2021,1285fd8d-e590-4e9,Desjardins,2020-03-08,2020-09-25,Comprehensive,2003.21,Quarterly,50000,False,Covered by SAAQ,True,2023-06-04,Fire,9415.98,Not-At-Fault,Carol Rodriguez,Total loss,1577.76,"Stone, Jacobson and Myers"
QC-64544128,Rachael Payne,1996-12-01,Q1618622,"239 Andrew Divide, Averybury, BC N6V 1S7",Toyota,Civic,2023,908b4e95-d167-433,Intact Insurance,2021-11-12,2021-07-14,All,2369.05,Monthly,50000,True,Covered by SAAQ,True,2020-10-09,Vandalism,6116.42,Not-At-Fault,Hector Hawkins,Windshield crack,1663.24,"Rodriguez, Johnson and Rodriguez"
QC-13627083,Edward Aguirre,1967-02-26,Q1895661,"83215 Jimenez Cape, Patriciaville, PE K8B 1K9",Chevrolet,Camry,2010,85e4fd92-628e-4c1,Intact Insurance,2024-07-17,2022-10-12,All,1635.96,Quarterly,50000,False,Covered by SAAQ,True,2024-12-16,None,4630.76,At-Fault,Ethan Wolfe,Windshield crack,1375.43,"Coffey, Fowler and Austin"
QC-90155450,Tiffany Pierce,2001-09-12,Q3738350,"9324 Roberta Springs Apt. 804, Cynthialand, NS G9Y 4M6",Ford,F-150,2016,44ea857f-0929-46b,Québec Auto Insurance Corp,2021-07-04,2022-12-30,Comprehensive,1474.68,Annually,50000,False,Covered by SAAQ,True,2021-05-18,Collision,9430.67,No Claim,Kevin Russell,Total loss,44.44,Owen and Sons
QC-10043856,Amanda Harris,1969-01-08,Q9023881,"814 Jonathon Island, Emmaborough, PE C9S3R9",Ford,F-150,2010,7a39b9b5-5f8b-4e6,Québec Auto Insurance Corp,2021-04-11,2022-09-22,Comprehensive,1022.37,Annually,50000,True,Covered by SAAQ,True,2022-04-23,Vandalism,10152.71,No Claim,Brandon Hunt,Total loss,72.24,Bailey-Stewart
QC-64355586,Jennifer Hall,1999-03-14,Q7977245,"454 Moore Burg Apt. 852, East Nicoletown, ON J6B8T6",Chevrolet,Civic,2012,e7789d2b-758a-457,Intact Insurance,2021-11-22,2024-07-14,Collision,2104.74,Monthly,50000,True,Covered by SAAQ,True,2020-07-17,Fire,489.01,No Claim,Heidi Gaines,Total loss,1990.5,Castro-Meyer
QC-38607587,Brianna Williams,1950-05-18,Q9928981,"601 Valentine Loop Apt. 436, Ashleyfurt, NL N8H 3B5",Toyota,F-150,2024,e698ef4d-5141-405,Québec Auto Insurance Corp,2022-06-16,2022-09-06,Liability,1861.39,Quarterly,50000,False,Covered by SAAQ,True,2024-10-25,Collision,7086.66,Not-At-Fault,Amanda Fischer,Front bumper dent,3143.29,Smith PLC
QC-69622469,Anthony Wood,1979-01-08,Q5752178,"137 Christopher Grove, West Bryan, NT E3N 3G2",Chevrolet,Camry,2009,e676ad9c-19d3-456,Intact Insurance,2020-12-23,2023-03-01,Liability,2210.05,Annually,50000,False,Covered by SAAQ,True,2020-07-16,Theft,6536.16,No Claim,Clinton Avila,None,2699.44,"Diaz, Lee and Elliott"
QC-69142515,Oscar Mclaughlin,1955-05-22,Q5408119,"955 Russell Road Apt. 482, Jenniferport, SK R2C7R9",Chevrolet,Camry,2019,bf05f085-c056-4a9,Desjardins,2021-01-14,2022-09-03,All,1025.51,Monthly,50000,True,Covered by SAAQ,True,2021-09-18,Collision,4690.95,At-Fault,Jade Gray,Total loss,3293.34,Spencer Group
QC-47003494,Annette Singleton,2003-03-08,Q7421442,"2692 Erin Station, Tuckerstad, SK X9R1K6",Honda,F-150,2006,53a8b5cb-1a1d-4e8,Desjardins,2024-04-17,2022-11-14,Liability,2002.02,Monthly,50000,True,Covered by SAAQ,True,2020-05-17,None,7753.41,No Claim,Andrew Kline,Total loss,2815.32,Smith-Stephenson
QC-13758860,Gabriel Vargas,2006-10-14,Q3728081,"533 Brown Parkways, Lake Kevinchester, NB R8C8P7",Toyota,F-150,2019,9fd33ae4-2170-46b,Intact Insurance,2022-01-03,2024-08-12,All,1383.22,Quarterly,50000,False,Covered by SAAQ,True,2020-08-22,Fire,2624.73,Not-At-Fault,Ryan Carroll,Total loss,1338.18,Johnson-Zamora
QC-91570538,Amanda Solomon,1993-02-01,Q2223807,"8312 Robert Trail Apt. 423, Port Nicholas, YT X5N4T8",Ford,Camry,2022,4d634a34-61d5-443,Québec Auto Insurance Corp,2022-09-02,2022-07-28,All,981.6,Quarterly,50000,True,Covered by SAAQ,True,2022-06-12,Theft,7741.22,At-Fault,Jessica Walker,Total loss,2838.85,"Dixon, Kelly and Evans"
QC-22231799,Susan Edwards,1955-01-17,Q6536727,"826 Evans River Suite 404, Laurafort, NB V2R 7S8",Chevrolet,Malibu,2014,f1347a81-09c9-402,Québec Auto Insurance Corp,2020-03-04,2021-12-24,All,926.71,Monthly,50000,False,Covered by SAAQ,True,2022-02-12,None,6489.25,At-Fault,Joshua Underwood,Total loss,4314.01,Chaney Group
QC-81031473,Nicholas Spencer,1944-09-25,Q5402877,"4208 Adams Isle Suite 382, Meganland, NB L4A1R6",Ford,Civic,2011,958f70ec-f5b2-4c0,Desjardins,2022-02-20,2023-09-28,Liability,1739.04,Annually,50000,False,Covered by SAAQ,True,2021-07-06,Vandalism,3138.03,At-Fault,Andrew Lee,Total loss,2198.6,Schultz-Williams
QC-55773318,Thomas Jackson,1980-09-07,Q4608328,"64554 Amy Rapids Suite 095, Port Kelsey, ON R5Y9Y8",Ford,Camry,2014,428a9132-6ba7-4ee,Québec Auto Insurance Corp,2024-06-17,2022-12-26,All,995.07,Annually,50000,True,Covered by SAAQ,True,2024-11-10,None,10074.16,Not-At-Fault,Peggy Blackburn,Front bumper dent,2194.41,Brown-Brooks
QC-25394574,Stephen Hawkins,1959-12-01,Q2297406,"921 Michael Loop Suite 448, Cannonchester, SK Y4H 2J4",Toyota,F-150,2009,f3ba477f-0dc8-4c1,Desjardins,2020-11-28,2023-06-07,All,2122.94,Annually,50000,True,Covered by SAAQ,True,2022-04-16,Vandalism,3572.01,At-Fault,Julie Singh,Windshield crack,3339.01,Diaz-Thomas
QC-13689309,Kimberly Washington,1980-04-07,Q1541520,"7873 Cooke Court Suite 441, North Margaret, ON P1L1V6",Chevrolet,Camry,2013,4a0860ca-2baf-4f6,Québec Auto Insurance Corp,2024-10-23,2022-05-14,Comprehensive,1225.31,Quarterly,50000,True,Covered by SAAQ,True,2024-11-12,None,573.96,No Claim,Joseph Young,Total loss,2255.84,Mcbride-Smith
QC-48030128,Christopher Ruiz,1961-04-22,Q3351547,"1234 Vincent Villages, Richardsside, BC K9T7H9",Chevrolet,Malibu,2013,cd7a18d1-2b62-46f,Intact Insurance,2020-08-26,2022-09-30,Liability,1771.57,Quarterly,50000,False,Covered by SAAQ,True,2022-07-08,None,14108.32,No Claim,Tammy Adams,None,409.34,Hanson Group
QC-13429967,Carlos Morgan,1959-08-09,Q1560447,"46649 Grimes Vista, Robinstad, NU R9A4E1",BMW,F-150,2013,3e5fff41-e086-423,Québec Auto Insurance Corp,2020-12-12,2020-04-22,Comprehensive,658.24,Annually,50000,False,Covered by SAAQ,True,2021-04-14,Theft,2768.76,No Claim,Jose Norton,Windshield crack,4738.74,Castillo-Pearson
QC-22370713,Lindsay Marshall DDS,2007-03-04,Q3082315,"661 Briggs Lodge, Michaelview, NB R3Y 5T2",Ford,F-150,2013,c418f293-6df4-45a,Intact Insurance,2024-09-25,2021-07-28,Liability,963.83,Quarterly,50000,True,Covered by SAAQ,True,2022-07-19,None,11581.13,At-Fault,Richard Ramirez,Front bumper dent,799.25,Day Inc
QC-60902874,John Berry,2003-12-13,Q6796543,"019 Cox Stream Apt. 945, Angelaside, BC R1V4S2",BMW,Civic,2006,80bff9e6-52a1-474,Intact Insurance,2022-11-26,2022-12-27,All,2276.9,Annually,50000,False,Covered by SAAQ,True,2021-09-18,Fire,724.96,At-Fault,Benjamin Gray,Windshield crack,209.2,"Brown, Manning and Gonzales"
QC-73673992,Martha Carroll,1945-03-13,Q2918765,"7529 Kim Mountains, Matthewview, SK P8M5S5",Chevrolet,F-150,2006,b6db2c27-9027-432,Intact Insurance,2022-07-02,2025-01-12,Collision,943.39,Monthly,50000,True,Covered by SAAQ,True,2022-08-18,Collision,13227.51,No Claim,Lisa Ramirez,None,4918.24,Bass-Williams
QC-31032921,Daniel Lewis,1991-06-19,Q6962363,"34776 Russell Plains Apt. 178, Robinsonside, NB V9M 3M6",Ford,Camry,2020,a5450319-0a05-4f7,Québec Auto Insurance Corp,2021-08-12,2020-07-06,Collision,1393.22,Monthly,50000,False,Covered by SAAQ,True,2022-05-08,Fire,6463.13,No Claim,Frank Cross,Front bumper dent,821.03,Flores-Jordan
QC-18196535,Jennifer Johnson,1957-04-27,Q9406441,"8557 Theresa Cliffs Apt. 781, West Michele, ON M6C8V5",BMW,X5,2010,6511faf7-c1e5-46d,Québec Auto Insurance Corp,2023-09-15,2022-09-21,All,949.15,Annually,50000,True,Covered by SAAQ,True,2022-10-07,Theft,1689.95,No Claim,Michelle Thomas,Total loss,3478.02,Bryant-Fischer
QC-95352446,William White,1981-11-09,Q9472201,"6830 Smith Manors Suite 017, Daniellemouth, NT L3Y 4G5",Chevrolet,X5,2015,f1481d1c-04d2-406,Desjardins,2023-07-25,2021-10-06,Comprehensive,2499.25,Monthly,50000,True,Covered by SAAQ,True,2024-04-11,None,12070.81,At-Fault,Jimmy Spencer DDS,Windshield crack,2649.64,Jones Ltd
QC-56769038,Jeremiah Woods,1994-03-28,Q7263727,"10374 Elliott Islands, Gomezfurt, NU M2R 8H7",BMW,Camry,2023,57dc55f6-2f06-493,Québec Auto Insurance Corp,2024-06-05,2024-07-02,Liability,788.8,Quarterly,50000,True,Covered by SAAQ,True,2021-01-29,Theft,11825.64,At-Fault,Joshua Smith,None,196.35,Smith-Horn
QC-46242157,Ann Cox,1997-02-19,Q9708578,"00600 Moreno Circles, South Makayla, SK G4Y 3L4",Honda,Malibu,2010,fe2ae21f-b50d-4ee,Intact Insurance,2020-08-26,2022-07-16,Liability,1964.37,Annually,50000,True,Covered by SAAQ,True,2020-10-02,None,14920.01,Not-At-Fault,Daniel Blake,Front bumper dent,357.03,"Byrd, Carpenter and Best"
QC-91755976,Courtney Chavez,1973-07-22,Q3768795,"40785 Joshua Expressway Suite 145, Markport, PE E3K9P1",Chevrolet,Malibu,2010,374c2e55-1596-454,Québec Auto Insurance Corp,2023-03-13,2023-07-21,Liability,2178.74,Annually,50000,False,Covered by SAAQ,True,2023-06-02,None,12328.27,No Claim,David Gentry,Windshield crack,19.77,Baker Ltd
QC-59100845,Nicole Garza,2001-04-23,Q2150531,"185 Smith Inlet, South Norman, ON N2E5S4",Toyota,F-150,2024,149ad356-a130-454,Québec Auto Insurance Corp,2021-04-15,2022-08-15,All,1624.39,Monthly,50000,True,Covered by SAAQ,True,2022-11-18,Fire,9618.28,At-Fault,Melissa Marshall,Front bumper dent,1280.73,"Morrison, Mcbride and Williamson"
QC-58385946,Ann Cole,1987-09-18,Q3961485,"174 Mccormick Freeway Suite 859, Mccallland, PE L4T 6K2",Ford,F-150,2007,76bab25e-da52-445,Intact Insurance,2022-07-28,2021-03-10,Liability,1773.18,Quarterly,50000,True,Covered by SAAQ,True,2025-01-04,Collision,12320.34,At-Fault,Linda Newman,None,4588.93,"Richards, Medina and Brady"
QC-55918777,Henry Robbins,1983-08-10,Q6126432,"856 Jacqueline Trace Apt. 560, Mariafort, SK R3A 5X5",Ford,X5,2016,a8bf7411-be69-4b5,Desjardins,2023-03-12,2022-09-11,Liability,1332.62,Monthly,50000,False,Covered by SAAQ,True,2020-03-21,None,442.71,At-Fault,Sandra Bray,Front bumper dent,3955.72,"Webb, Johnston and Jennings"
QC-92602530,Deborah Mcdonald,2005-06-02,Q5778562,"129 Steven Squares, New Derek, BC H7B1B9",Toyota,Civic,2019,df59fe0e-1ea8-4ff,Intact Insurance,2022-11-15,2024-12-18,All,987.17,Monthly,50000,True,Covered by SAAQ,True,2023-05-09,None,8459.8,No Claim,Laurie Johnson,Front bumper dent,725.85,Obrien-Sanchez
QC-87812531,Larry Myers,2003-05-17,Q3186656,"2818 Amanda Summit Suite 937, Port Ryan, ON T3G7V2",Chevrolet,F-150,2023,34047061-ee11-475,Intact Insurance,2022-04-16,2023-03-14,All,2016.0,Monthly,50000,True,Covered by SAAQ,True,2021-05-09,Collision,13936.71,At-Fault,Christopher Johnson,Front bumper dent,2988.98,Horton Inc
